qa1,qa2,qa3,qa4,q1,q2,q3,q4,q5a,q5b,q5c,q5d,q5e,q5f,q5g,q5h,q5i,q5j,q10,q11,q12,q13a,q13b,q13c,q13d,q13e,q13f,q14,q15a,q15b,q15c,q15d,q15e,q15f,q15g,q15h,q15i,q15j,q15k,q15l,q15m,q15n,q15o,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,poids
5,2, ,4,1,1, ,1,2,4,1,2,1,4,1,1,1,1,2,2,1,2,2,2,2,2,2,2,1,2,1,3,3,3,3,3,3,3,2,3,3,2,2,2,2,1,2,1,2,1,2,2,3,2,1,2,1.032346487
4,2, ,1,2,1, ,2,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,3,2,1,1,0.797467113
3,1, ,3,1,3, ,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,2,2,2,3,2,1,2,3,2,3,2,2,2,2,2,1,2,2,1,2,1,2,3,1,2,1,4,4,1,2,0.65603888
6,2, ,2,1,1, ,1,2,1,1,4,5,4,5,3,2,2,3,3,2,3,1,2,1,2,2,1,1,2,2,2,1,1,2,2,2,1,1,1,2,3,1,1,1,1,2,1,2,4, ,2,4,2,1,2,0.666213214
7,1, ,4,1,1, ,1,6,6,1,1,1,4,1,6,6,1,2,2,2,1,2,3,3,2,3,2,2,2,1,2,2,2,2,3,1,2,2,2,1,2,1,2,2,1,3,1,1,4, ,1,2,2,1,2,1.198545694
4,1, ,4,1,1, ,1,4,2,2,5,3,3,4,1,2,1,2,1,2,2,1,1,1,2,2,1,2,2,2,2,1,2,2,1,1,1,2,2,1,1,1,2,2,1,2,2,1,1,2,1,4,8,2,3,2.579536438
5,1, ,2,2,4, ,4,4,4,4,4,1,4,5,1,4,4,1,2,1,1,1,1,1,5,1,2,1,2,1,2,1,4,2,3,4,1,2,1,4,2,1,1,2,1,2,4,2,1,2,1,4,5,1,1,0.625699759
5,2, ,1,2,6,6,3,5,6,2,6,6,5,6,4,1,6,3,3,3,3,3,3,3,3, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2, ,2,3,2, ,1,1.284222484
7,1, ,1,2,3, ,3,2,1,5,5,2,1,2,2,5,2,3,3,2,3,4,3,4,2,3,3,2,3,1,1,4,2,1,1,2,4,3,3,1,2,3,2,2,2,1,2,3,4, ,1,1,3,2,2,1.490971684
5,2, ,3,2,1, ,2,1,4,1,2,1,4,2,1,4,1,2,2,2,1,1,1,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,3,1,2,2,2,5,1,3,0.409285843
6,2, ,2,1,6,2,3,2,6,6,2,3,4,3,6,6,6,1,2,1,1,2,1,2,1,1,3,2,1,1,2,2,3,2,3,2,2,2,3,2,2,2,2,2,1,3,3,1,4, ,1,1,3,1,2,0.666213214
7,1, ,1,2,3, ,3,1,2,2,2,2,2,2,2,2,2,2,2,1,2,3,2,1,3,2,2,2,1,1,2,2,4,3,3,3,2,2,3,3,1,2,2,2,2,1,2,2,1,2,2,3,4,2,2,1.490971684
3,2, ,4,1,3, ,2,2,6,1,3,1,1,3,2,6,5,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,3,2,2,2,2,1,2,2,2,2, ,1,4,3,1,3,1.053183079
5,1, ,1,1,6,3,4,2,3,1,2,2,1,1,2,3,2,4,4,4,3,2,3,4,2,3,4,1,3,3,4,3,1,1,1,1,2,3,2,1,4,4,2,2,2,1,1,3,1,2,1,2,8,2,4,1.314240813
3,2, ,4,1,5, ,2,2,4,2,3,2,4,1,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,4,2,5, ,2,1,1,1,1,1.053183079
