"","IdCirc","nom2011","nom2015","nom2019","nameChange"
"1",10001,"Avalon","Avalon","Avalon",0
"2",10002,"Bonavista--Gander--Grand Falls--Windsor","Bonavista--Burin--Trinity","Bonavista--Burin--Trinity",1
"3",10003,"Humber--St. Barbe--Baie Verte","Coast of Bays--Central--Notre Dame","Coast of Bays--Central--Notre Dame",1
"4",10004,"Labrador","Labrador","Labrador",0
"5",10005,"Random--Burin--St. George's","Long Range Mountains","Long Range Mountains",1
"6",10006,"St. John's-Est","St. John's-Est","St. John's-Est",0
"7",10007,"St. John's-Sud--Mount Pearl","St. John's-Sud--Mount Pearl","St. John's-Sud--Mount Pearl",0
"8",11001,"Cardigan","Cardigan","Cardigan",0
"9",11002,"Charlottetown","Charlottetown","Charlottetown",0
"10",11003,"Egmont","Egmont","Egmont",0
"11",11004,"Malpeque","Malpeque","Malpeque",0
"12",12001,"Cape Breton--Canso","Cape Breton--Canso","Cape Breton--Canso",0
"13",12002,"Nova-Centre","Nova-Centre","Nova-Centre",0
"14",12003,"Dartmouth--Cole Harbour","Cumberland--Colchester","Cumberland--Colchester",1
"15",12004,"Halifax","Dartmouth--Cole Harbour","Dartmouth--Cole Harbour",1
"16",12005,"Halifax-Ouest","Halifax","Halifax",1
"17",12006,"Kings--Hants","Halifax-Ouest","Halifax-Ouest",1
"18",12007,"Cumberland--Colchester--Musquodoboit Valley","Kings--Hants","Kings--Hants",1
"19",12008,"Sackville--Eastern Shore","Sackville--Preston--Chezzetcook","Sackville--Preston--Chezzetcook",1
"20",12009,"South Shore--St. Margaret's","South Shore--St. Margarets","South Shore--St. Margarets",1
"21",12010,"Sydney--Victoria","Sydney--Victoria","Sydney--Victoria",0
"22",12011,"Nova-Ouest","Nova-Ouest","Nova-Ouest",0
"23",13001,"Acadie--Bathurst","Acadie--Bathurst","Acadie--Bathurst",0
"24",13002,"Beaus<e9>jour","Beauséjour","Beauséjour",1
"25",13003,"Fredericton","Fredericton","Fredericton",0
"26",13004,"Fundy Royal","Fundy Royal","Fundy Royal",0
"27",13005,"Madawaska--Restigouche","Madawaska--Restigouche","Madawaska--Restigouche",0
"28",13006,"Miramichi","Miramichi--Grand Lake","Miramichi--Grand Lake",1
"29",13007,"Moncton--Riverview--Dieppe","Moncton--Riverview--Dieppe","Moncton--Riverview--Dieppe",0
"30",13008,"Nouveau-Brunswick-Sud-Ouest","Nouveau-Brunswick-Sud-Ouest","Nouveau-Brunswick-Sud-Ouest",0
"31",13009,"Saint John","Saint John--Rothesay","Saint John--Rothesay",1
"32",13010,"Tobique--Mactaquac","Tobique--Mactaquac","Tobique--Mactaquac",0
"33",24001,"Abitibi--T<e9>miscamingue","Abitibi--Baie-James--Nunavik--Eeyou","Abitibi--Baie-James--Nunavik--Eeyou",1
"34",24002,"Ahuntsic","Abitibi--Témiscamingue","Abitibi--Témiscamingue",1
"35",24003,"Alfred-Pellan","Ahuntsic-Cartierville","Ahuntsic-Cartierville",1
"36",24004,"Argenteuil--Papineau--Mirabel","Alfred-Pellan","Alfred-Pellan",1
"37",24005,"Beauce","Argenteuil--La Petite-Nation","Argenteuil--La Petite-Nation",1
"38",24006,"Beauharnois--Salaberry","Avignon--La Mitis--Matane--Matapédia","Avignon--La Mitis--Matane--Matapédia",1
"39",24007,"Beauport--Limoilou","Beauce","Beauce",1
"40",24008,"Berthier--Maskinong<e9>","Beauport--Limoilou","Beauport--Limoilou",1
"41",24009,"Bourassa","Bécancour--Nicolet--Saurel","Bécancour--Nicolet--Saurel",1
"42",24010,"Brome--Missisquoi","Bellechasse--Les Etchemins--Lévis","Bellechasse--Les Etchemins--Lévis",1
"43",24011,"Brossard--La Prairie","Beloeil--Chambly","Beloeil--Chambly",1
